Case ID,Nodes,Edges,Starting Node,Duration,Total Colors Used,n/x Ratio,Color 1 Count,Color 2 Count,Color 1 Ratio,Total Leaves
1,20,19,3,1.0125e-05 seconds,5,n/4,12,4,60%,10,
2,20,19,3,9.958e-06 seconds,6,n/3,12,4,60%,10,
3,28,27,21,1.1167e-05 seconds,5,n/5,17,7,60.7143%,14,
4,29,28,6,1.4e-05 seconds,6,n/4,16,7,55.1724%,10,
5,22,21,18,1.2584e-05 seconds,7,n/3,12,3,54.5455%,12,
6,20,19,9,9.625e-06 seconds,6,n/3,11,4,55%,9,
7,20,19,6,1.0333e-05 seconds,7,n/2,13,2,65%,12,
8,25,24,11,1.0959e-05 seconds,6,n/4,14,5,56%,13,
9,20,19,9,8.333e-06 seconds,5,n/4,11,5,55%,8,
10,30,29,10,1.5416e-05 seconds,8,n/3,17,6,56.6667%,16,
11,25,24,3,1.1167e-05 seconds,6,n/4,15,4,60%,12,
12,21,20,7,8.041e-06 seconds,5,n/4,12,5,57.1429%,9,
13,26,25,8,1.075e-05 seconds,6,n/4,15,6,57.6923%,12,
14,28,27,6,1.3916e-05 seconds,7,n/4,16,4,57.1429%,13,
15,20,19,2,7.208e-06 seconds,5,n/4,12,5,60%,9,
16,27,26,12,1.35e-05 seconds,7,n/3,15,5,55.5556%,12,
17,27,26,8,1.2584e-05 seconds,7,n/3,16,4,59.2593%,14,
18,22,21,2,9.75e-06 seconds,6,n/3,13,4,59.0909%,11,
19,29,28,3,1.2167e-05 seconds,6,n/4,18,5,62.069%,14,
20,30,29,2,1.2958e-05 seconds,7,n/4,18,7,60%,15,
21,20,19,5,8.833e-06 seconds,6,n/3,11,4,55%,9,
22,29,28,5,1.4375e-05 seconds,7,n/4,15,6,51.7241%,12,
23,24,23,1,1.0958e-05 seconds,6,n/4,13,6,54.1667%,10,
24,26,25,11,1.0834e-05 seconds,6,n/4,17,4,65.3846%,15,
25,28,27,3,1.4167e-05 seconds,8,n/3,15,6,53.5714%,14,
26,29,28,18,1.2167e-05 seconds,6,n/4,17,6,58.6207%,14,
27,24,23,4,1.225e-05 seconds,8,n/3,13,5,54.1667%,12,
28,30,29,7,1.5334e-05 seconds,8,n/3,16,6,53.3333%,15,
29,23,22,4,1.0041e-05 seconds,6,n/3,14,4,60.8696%,12,
30,27,26,4,1.225e-05 seconds,7,n/3,15,6,55.5556%,12,
