Case ID,Nodes,Edges,Starting Node,Duration,Total Colors Used,n/x Ratio,Color 1 Count,Color 2 Count,Color 1 Ratio,Total Leaves
1,34688,34687,34688,0.0214261 seconds,7,n/4955,17345,5781,50.0029%,17345,
2,12142,12141,12142,0.00656117 seconds,7,n/1734,6072,2024,50.0082%,6072,
3,30900,30899,30900,0.0182599 seconds,7,n/4414,15451,5150,50.0032%,15451,
4,41632,41631,41632,0.0263443 seconds,7,n/5947,20817,6939,50.0024%,20817,
5,25098,25097,25098,0.0143054 seconds,7,n/3585,12550,4183,50.004%,12550,
6,38242,38241,38242,0.0227246 seconds,7,n/5463,19122,6374,50.0026%,19122,
7,14740,14739,14740,0.00808125 seconds,7,n/2105,7371,2457,50.0068%,7371,
8,38398,38397,38398,0.0233048 seconds,7,n/5485,19200,6400,50.0026%,19200,
9,35578,35577,35578,0.0219382 seconds,7,n/5082,17790,5930,50.0028%,17790,
10,27864,27863,27864,0.0161578 seconds,7,n/3980,13933,4644,50.0036%,13933,
11,22374,22373,22374,0.0131551 seconds,7,n/3196,11188,3729,50.0045%,11188,
12,40500,40499,40500,0.0244281 seconds,7,n/5785,20251,6750,50.0025%,20251,
13,49782,49781,49782,0.0312352 seconds,7,n/7111,24892,8297,50.002%,24892,
14,30668,30667,30668,0.0180424 seconds,7,n/4381,15335,5111,50.0033%,15335,
15,38426,38425,38426,0.0230168 seconds,7,n/5489,19214,6404,50.0026%,19214,
16,37884,37883,37884,0.0220656 seconds,7,n/5412,18943,6314,50.0026%,18943,
17,13818,13817,13818,0.00722871 seconds,7,n/1974,6910,2303,50.0072%,6910,
18,12314,12313,12314,0.00642904 seconds,7,n/1759,6158,2052,50.0081%,6158,
19,33156,33155,33156,0.019555 seconds,7,n/4736,16579,5526,50.003%,16579,
20,27232,27231,27232,0.0153794 seconds,7,n/3890,13617,4539,50.0037%,13617,
21,34474,34473,34474,0.0203353 seconds,7,n/4924,17238,5746,50.0029%,17238,
22,36964,36963,36964,0.0218546 seconds,7,n/5280,18483,6161,50.0027%,18483,
23,27864,27863,27864,0.015854 seconds,7,n/3980,13933,4644,50.0036%,13933,
24,33940,33939,33940,0.0199727 seconds,7,n/4848,16971,5657,50.0029%,16971,
