Case ID,Nodes,Edges,Starting Node,Duration,Total Colors Used,n/x Ratio,Color 1 Count,Color 2 Count,Color 1 Ratio,Total Leaves
1,200,199,200,0.000313708 seconds,7,n/28,101,33,50.5%,101,
2,350,349,350,0.000414583 seconds,7,n/50,176,58,50.2857%,176,
3,380,379,380,0.000304083 seconds,7,n/54,191,63,50.2632%,191,
4,400,399,400,0.000295209 seconds,7,n/57,201,67,50.25%,201,
5,500,499,500,0.000367791 seconds,7,n/71,251,83,50.2%,251,
6,2000,1999,2000,0.00241125 seconds,7,n/285,1001,333,50.05%,1001,
7,5000,4999,5000,0.00486479 seconds,7,n/714,2501,833,50.02%,2501,
8,10000,9999,10000,0.006753 seconds,7,n/1428,5001,1667,50.01%,5001,
9,12000,11999,12000,0.00670879 seconds,7,n/1714,6001,2000,50.0083%,6001,
10,15000,14999,15000,0.00835021 seconds,7,n/2142,7501,2500,50.0067%,7501,
11,17000,16999,17000,0.009785 seconds,7,n/2428,8501,2833,50.0059%,8501,
12,22000,21999,22000,0.0129891 seconds,7,n/3142,11001,3667,50.0045%,11001,
13,30000,29999,30000,0.0181247 seconds,7,n/4285,15001,5000,50.0033%,15001,
