Nodes,Number of colors used,File Name
20,4.0,status_graph_id_1.txt
20,4.0,status_graph_id_2.txt
28,4.0,status_graph_id_3.txt
29,4.0,status_graph_id_4.txt
22,5.0,status_graph_id_5.txt
20,4.0,status_graph_id_6.txt
20,5.0,status_graph_id_7.txt
25,4.0,status_graph_id_8.txt
20,4.0,status_graph_id_9.txt
30,5.0,status_graph_id_10.txt
25,5.0,status_graph_id_11.txt
21,4.0,status_graph_id_12.txt
26,4.0,status_graph_id_13.txt
28,4.0,status_graph_id_14.txt
20,4.0,status_graph_id_15.txt
27,4.0,status_graph_id_16.txt
27,5.0,status_graph_id_17.txt
22,4.0,status_graph_id_18.txt
29,5.0,status_graph_id_19.txt
30,5.0,status_graph_id_20.txt
20,4.0,status_graph_id_21.txt
29,5.0,status_graph_id_22.txt
24,4.0,status_graph_id_23.txt
26,4.0,status_graph_id_24.txt
28,5.0,status_graph_id_25.txt
29,4.0,status_graph_id_26.txt
24,5.0,status_graph_id_27.txt
30,5.0,status_graph_id_28.txt
23,5.0,status_graph_id_29.txt
27,4.0,status_graph_id_30.txt
