Case ID,Nodes,Edges,Starting Node,Duration,Total Colors Used,n/x Ratio,Color 1 Count,Color 2 Count,Color 1 Ratio,Total Leaves
1,100,99,2,0.000197125 seconds,13,n/7,60,20,60%,49,
2,93,92,7,0.000540292 seconds,12,n/7,54,20,58.0645%,42,
3,59,58,14,0.000330833 seconds,9,n/6,34,12,57.6271%,27,
4,63,62,14,0.000140292 seconds,9,n/7,36,14,57.1429%,27,
5,56,55,15,0.000466667 seconds,10,n/5,32,11,57.1429%,25,
6,64,63,4,0.000210958 seconds,10,n/6,36,13,56.25%,31,
7,98,97,17,0.000400792 seconds,12,n/8,56,19,57.1429%,48,
8,73,72,10,0.000229167 seconds,11,n/6,42,15,57.5342%,35,
9,83,82,15,0.000311792 seconds,13,n/6,48,17,57.8313%,38,
10,55,54,3,0.000130125 seconds,9,n/6,33,9,60%,27,
