Case ID,Nodes,Edges,Starting Node,Duration,Total Colors Used,n/x Ratio,Color 1 Count,Color 2 Count,Color 1 Ratio,Total Leaves
1,44106,44105,9,0.664595 seconds,460,n/95,24350,9540,55.2079%,16857,
2,29399,29398,13,0.320329 seconds,324,n/90,16230,6364,55.206%,11299,
3,19829,19828,24,0.143609 seconds,234,n/84,10956,4286,55.2524%,7570,
4,10323,10322,3,0.0394277 seconds,141,n/73,5696,2240,55.1778%,3932,
5,13796,13795,15,0.0722418 seconds,169,n/81,7617,2991,55.2117%,5290,
6,25038,25037,49,0.214447 seconds,262,n/95,13860,5390,55.3559%,9662,
7,49302,49301,29,0.907608 seconds,509,n/96,27215,10691,55.2006%,18785,
8,16802,16801,1,0.147636 seconds,210,n/80,9259,3631,55.1065%,6432,
9,38467,38466,16,0.564482 seconds,408,n/94,21236,8326,55.2058%,14722,
10,10752,10751,21,0.0431531 seconds,143,n/75,5936,2330,55.2083%,4088,
