Case ID,Nodes,Edges,Starting Node,Duration,Total Colors Used,n/x Ratio,Color 1 Count,Color 2 Count,Color 1 Ratio,Total Leaves
1,28,27,21,5.1375e-05 seconds,5,n/5,17,7,60.7143%,14,
2,20,19,3,0.00019975 seconds,6,n/3,12,4,60%,10,
3,28,27,3,6.6833e-05 seconds,8,n/3,15,6,53.5714%,14,
4,29,28,18,3.7416e-05 seconds,6,n/4,17,6,58.6207%,14,
5,22,21,18,3.7833e-05 seconds,7,n/3,12,3,54.5455%,12,
6,20,19,9,5.6625e-05 seconds,6,n/3,11,4,55%,9,
7,29,28,6,4.9166e-05 seconds,6,n/4,16,7,55.1724%,10,
8,20,19,3,3.1875e-05 seconds,5,n/4,12,4,60%,10,
9,30,29,10,0.000110209 seconds,8,n/3,17,6,56.6667%,16,
10,20,19,6,4.9333e-05 seconds,7,n/2,13,2,65%,12,
11,25,24,3,7.8125e-05 seconds,6,n/4,15,4,60%,12,
12,21,20,7,5.5083e-05 seconds,5,n/4,12,5,57.1429%,9,
13,29,28,5,4.4834e-05 seconds,7,n/4,15,6,51.7241%,12,
14,27,26,8,5.4125e-05 seconds,7,n/3,16,4,59.2593%,14,
15,24,23,1,4.9209e-05 seconds,6,n/4,13,6,54.1667%,10,
16,30,29,7,9.675e-05 seconds,8,n/3,16,6,53.3333%,15,
17,27,26,4,9.2e-05 seconds,7,n/3,15,6,55.5556%,12,
18,23,22,4,5.45e-05 seconds,6,n/3,14,4,60.8696%,12,
19,20,19,5,5.8459e-05 seconds,6,n/3,11,4,55%,9,
20,22,21,2,4.1625e-05 seconds,6,n/3,13,4,59.0909%,11,
21,28,27,6,8.4792e-05 seconds,7,n/4,16,4,57.1429%,13,
22,20,19,2,2.3417e-05 seconds,5,n/4,12,5,60%,9,
23,20,19,9,4.7208e-05 seconds,5,n/4,11,5,55%,8,
24,25,24,11,4.8167e-05 seconds,6,n/4,14,5,56%,13,
25,30,29,2,7.6416e-05 seconds,7,n/4,18,7,60%,15,
26,29,28,3,8.5084e-05 seconds,6,n/4,18,5,62.069%,14,
27,26,25,8,5.65e-05 seconds,6,n/4,15,6,57.6923%,12,
28,27,26,12,4.7917e-05 seconds,7,n/3,15,5,55.5556%,12,
29,26,25,11,7.6708e-05 seconds,6,n/4,17,4,65.3846%,15,
30,24,23,4,8.3334e-05 seconds,8,n/3,13,5,54.1667%,12,
