Case ID,Nodes,Edges,Starting Node,Duration,Total Colors Used,n/x Ratio,Color 1 Count,Color 2 Count,Color 1 Ratio,Total Leaves
1,6219,6218,8,0.13859 seconds,402,n/15,3698,1158,59.4629%,3094,
2,7528,7527,11,0.18179 seconds,495,n/15,4488,1410,59.6174%,3763,
3,7129,7128,2,0.16021 seconds,477,n/14,4279,1299,60.0224%,3600,
4,8747,8746,7,0.25595 seconds,621,n/14,5206,1595,59.5175%,4406,
5,5872,5871,48,0.107242 seconds,412,n/14,3486,1097,59.3665%,2921,
6,5661,5660,4,0.0987107 seconds,402,n/14,3363,1062,59.4065%,2831,
7,7275,7274,1,0.171437 seconds,517,n/14,4339,1346,59.6426%,3666,
8,9373,9372,18,0.261865 seconds,608,n/15,5618,1731,59.9381%,4757,
9,8469,8468,10,0.23856 seconds,580,n/14,5049,1582,59.6174%,4212,
10,6082,6081,9,0.110259 seconds,408,n/14,3636,1108,59.783%,3073,
