Case ID,Number of nodes,Probability,Number of edges in MST,Selected root node,Time taken to perform the packing coloring,Maximum reusable colors used,Total colors used,Uniquely used colors,n/x ratio,1,2,One Fraction,MST Diameter
1,50,0.173831,49,8,3.1625e-05 seconds,8,8,0,n/6,35,7,70%,0,
2,100,0.102315,99,19,5.9833e-05 seconds,10,10,0,n/10,74,9,74%,0,
3,200,0.058858,199,68,0.00016525 seconds,17,17,0,n/11,147,22,73.5%,0,
4,600,0.023687,599,259,0.000768916 seconds,31,31,0,n/19,474,51,79%,0,
5,700,0.020793,699,3,0.000680125 seconds,26,26,0,n/26,556,63,79.4286%,0,
6,1000,0.015347,999,3,0.00139429 seconds,37,37,0,n/27,802,76,80.2%,0,
7,1500,0.010832,1499,4,0.00264067 seconds,58,58,0,n/25,1199,121,79.9333%,0,
8,1900,0.008828,1899,13,0.00286683 seconds,57,57,0,n/33,1534,141,80.7368%,0,
9,2000,0.008444,1999,1940,0.00341396 seconds,67,67,0,n/29,1617,150,80.85%,0,
10,2500,0.006953,2499,864,0.00448933 seconds,70,70,0,n/35,2046,177,81.84%,0,
11,3000,0.005929,2999,697,0.00569192 seconds,77,77,0,n/38,2467,215,82.2333%,0,
12,4000,0.004607,3999,2056,0.0100367 seconds,104,104,0,n/38,3292,280,82.3%,0,
13,4500,0.004153,4499,4,0.0142752 seconds,122,122,0,n/36,3699,308,82.2%,0,
14,5000,0.003785,4999,7,0.0141731 seconds,107,107,0,n/46,4115,361,82.3%,0,
15,310,0.042982,309,4,0.00016425 seconds,15,15,0,n/20,241,30,77.7419%,0,
16,387,0.035762,386,262,0.000226 seconds,20,20,0,n/19,310,31,80.1034%,0,
17,491,0.029313,490,12,0.000353333 seconds,24,24,0,n/20,382,42,77.8004%,0,
18,532,0.027404,531,8,0.000275208 seconds,17,17,0,n/31,423,51,79.5113%,0,
19,547,0.026771,546,145,0.000403375 seconds,27,27,0,n/20,438,44,80.0731%,0,
20,572,0.025782,571,14,0.000453834 seconds,26,26,0,n/22,455,43,79.5455%,0,
21,724,0.021125,723,18,0.000607125 seconds,28,28,0,n/25,571,62,78.8674%,0,
22,741,0.020713,740,149,0.000884625 seconds,40,40,0,n/18,594,57,80.1619%,0,
23,918,0.017262,917,146,0.000779667 seconds,33,33,0,n/27,752,70,81.9172%,0,
24,930,0.017071,929,9,0.000958791 seconds,38,38,0,n/24,747,72,80.3226%,0,
25,1163,0.014098,1162,280,0.00139204 seconds,47,47,0,n/24,941,91,80.9114%,0,
26,1301,0.012803,1300,40,0.00148942 seconds,43,43,0,n/30,1050,98,80.7071%,0,
27,1485,0.011423,1484,103,0.00227083 seconds,58,58,0,n/25,1204,111,81.0774%,0,
28,1725,0.010036,1724,5,0.00270312 seconds,64,64,0,n/26,1393,131,80.7536%,0,
29,1853,0.009432,1852,1238,0.00262567 seconds,56,56,0,n/33,1513,137,81.6514%,0,
30,1855,0.009423,1854,21,0.00275613 seconds,63,63,0,n/29,1516,133,81.7251%,0,
31,2137,0.008334,2136,4,0.00300704 seconds,55,55,0,n/38,1746,153,81.7033%,0,
32,2229,0.008034,2228,21,0.00414717 seconds,70,70,0,n/31,1825,161,81.8753%,0,
33,2241,0.007996,2240,1103,0.00480013 seconds,85,85,0,n/26,1827,165,81.5261%,0,
34,2318,0.007764,2317,5,0.00415133 seconds,71,71,0,n/32,1889,166,81.4927%,0,
35,2330,0.007729,2329,489,0.00360758 seconds,71,71,0,n/32,1917,166,82.2747%,0,
36,2387,0.007568,2386,1933,0.00448358 seconds,74,74,0,n/32,1979,163,82.9074%,0,
